j,gamma,r,N,B_inf_rigorous,sup_C,A_tail_rigorous,margin,verdict
1,14.134725141735,2.295771499,2,4.525769e-05,1.430322e-02,3.417623e-09,1.324e+04,ROUCHE_CERTIFIED_ONE_ZERO
2,21.022039638772,1.329605980,2,7.957645e-07,7.833552e-05,6.908440e-10,1.152e+03,ROUCHE_CERTIFIED_ONE_ZERO
3,25.010857580146,1.329605980,2,2.005181e-07,4.404522e-06,9.471323e-10,2.117e+02,ROUCHE_CERTIFIED_ONE_ZERO
4,30.424876125860,0.836728487,3,2.586510e-09,4.851344e-08,1.011520e-19,2.557e+10,ROUCHE_CERTIFIED_ONE_ZERO
5,32.935061587739,0.836728487,3,1.303862e-09,6.110136e-09,1.175090e-19,1.110e+10,ROUCHE_CERTIFIED_ONE_ZERO
6,37.586178158826,1.110846951,3,5.880027e-11,5.628241e-10,3.073431e-19,1.913e+08,ROUCHE_CERTIFIED_ONE_ZERO
7,40.918719012147,0.802784756,3,3.197430e-12,2.166484e-11,1.627370e-19,1.965e+07,ROUCHE_CERTIFIED_ONE_ZERO
8,43.327073280915,0.802784756,3,1.046998e-12,3.238312e-12,1.816048e-19,5.765e+06,ROUCHE_CERTIFIED_ONE_ZERO
9,48.005150881167,0.589560532,3,9.968069e-15,7.706798e-14,1.275864e-19,7.813e+04,ROUCHE_CERTIFIED_ONE_ZERO
10,49.773832477672,0.589560532,3,4.581221e-15,1.500940e-14,1.368498e-19,3.348e+04,ROUCHE_CERTIFIED_ONE_ZERO
11,52.970321477714,1.065496333,3,9.632066e-16,5.142509e-15,5.264901e-19,1.829e+03,ROUCHE_CERTIFIED_ONE_ZERO
12,56.446247697063,0.966932102,3,5.285951e-17,3.899056e-16,4.617071e-19,1.145e+02,ROUCHE_CERTIFIED_ONE_ZERO
13,59.347044002602,0.494911507,3,2.375843e-18,9.857049e-18,1.509796e-19,1.574e+01,ROUCHE_CERTIFIED_ONE_ZERO
14,60.831778524610,0.494911507,3,1.613127e-18,2.867209e-18,1.584387e-19,1.018e+01,ROUCHE_CERTIFIED_ONE_ZERO
15,65.112544048082,0.655755494,4,6.087455e-20,3.181990e-19,1.194526e-31,5.096e+11,ROUCHE_CERTIFIED_ONE_ZERO
16,67.079810529494,0.655755494,4,1.390078e-20,4.936667e-20,1.265958e-31,1.098e+11,ROUCHE_CERTIFIED_ONE_ZERO
17,69.546401711174,0.822197061,4,2.864730e-21,1.183298e-20,2.160771e-31,1.326e+10,ROUCHE_CERTIFIED_ONE_ZERO
18,72.067157674482,0.840251988,4,6.456203e-22,2.160792e-21,2.435660e-31,2.651e+09,ROUCHE_CERTIFIED_ONE_ZERO
19,75.704690699084,0.480049790,4,1.173007e-23,5.376570e-23,9.828376e-32,1.193e+08,ROUCHE_CERTIFIED_ONE_ZERO
20,77.144840068875,0.480049790,4,4.999274e-24,1.138844e-23,1.019858e-31,4.902e+07,ROUCHE_CERTIFIED_ONE_ZERO
21,79.337375020249,0.730844984,4,2.425847e-24,6.055870e-24,2.166626e-31,1.120e+07,ROUCHE_CERTIFIED_ONE_ZERO
22,82.910380854086,0.608370709,4,8.668544e-26,4.158789e-25,1.679436e-31,5.162e+05,ROUCHE_CERTIFIED_ONE_ZERO
23,84.735492980517,0.608370709,4,2.386655e-26,6.992780e-26,1.752754e-31,1.362e+05,ROUCHE_CERTIFIED_ONE_ZERO
24,87.425274613125,0.461278865,4,1.646849e-27,6.014560e-27,1.237634e-31,1.331e+04,ROUCHE_CERTIFIED_ONE_ZERO
25,88.809111207634,0.461278865,4,1.142245e-27,1.827428e-27,1.276472e-31,8.948e+03,ROUCHE_CERTIFIED_ONE_ZERO
26,92.491899270558,0.719814923,4,6.694950e-29,4.012642e-28,2.838400e-31,2.359e+02,ROUCHE_CERTIFIED_ONE_ZERO
27,94.651344040520,0.406430063,4,4.590394e-30,1.682325e-29,1.242318e-31,3.695e+01,ROUCHE_CERTIFIED_ONE_ZERO
28,95.870634228245,0.406430063,4,3.352063e-30,5.791854e-30,1.274057e-31,2.631e+01,ROUCHE_CERTIFIED_ONE_ZERO
29,98.831194218194,0.828885596,5,7.971646e-31,3.708354e-30,3.807251e-46,2.094e+15,ROUCHE_CERTIFIED_ONE_ZERO
30,101.317851005731,0.802562345,5,9.756096e-32,5.049115e-31,3.697999e-46,2.638e+14,ROUCHE_CERTIFIED_ONE_ZERO
31,103.725538040478,0.573695004,5,8.564394e-33,3.607067e-32,1.967068e-46,4.354e+13,ROUCHE_CERTIFIED_ONE_ZERO
32,105.446623052326,0.573695004,5,2.319544e-33,7.692953e-33,2.031898e-46,1.142e+13,ROUCHE_CERTIFIED_ONE_ZERO
33,107.168611184276,0.573996044,5,1.391759e-33,2.570353e-33,2.099683e-46,6.628e+12,ROUCHE_CERTIFIED_ONE_ZERO
34,111.029535543170,0.281707878,5,1.185485e-35,4.583784e-35,9.481827e-47,1.250e+11,ROUCHE_CERTIFIED_ONE_ZERO
35,111.874659176993,0.281707878,5,7.409930e-36,1.533655e-35,9.625065e-47,7.699e+10,ROUCHE_CERTIFIED_ONE_ZERO
36,114.320220915453,0.635486468,5,3.385331e-36,1.260356e-35,2.860717e-46,1.183e+10,ROUCHE_CERTIFIED_ONE_ZERO
37,116.226680320858,0.635486468,5,1.206628e-36,3.031010e-36,2.955560e-46,4.083e+09,ROUCHE_CERTIFIED_ONE_ZERO
38,118.790782865976,0.854700848,5,1.799336e-37,9.048191e-37,5.900565e-46,3.049e+08,ROUCHE_CERTIFIED_ONE_ZERO
39,121.370125002421,0.525568097,5,1.001873e-38,4.436658e-38,2.325827e-46,4.308e+07,ROUCHE_CERTIFIED_ONE_ZERO
40,122.946829293553,0.436663087,5,1.977562e-39,6.354665e-39,1.834343e-46,1.078e+07,ROUCHE_CERTIFIED_ONE_ZERO
